comparison,feature,n_pairs,units,mean_difference,standardised,ci_low,ci_high,p
secretory,n_rsa,261,72,0.000320689655172415,0.015887687413731245,-0.0025770378832547162,0.0018744894420832509,0.798
secretory,n_neighbours_8a,261,72,-0.0038314176245210726,-0.06189844605901731,-0.016535870546565735,0.0,0.763
secretory,neighbour_hydrophobic_fraction_8a,261,72,0.019106130268199233,0.1274990534313571,-0.0002985441310282072,0.04142442750533042,0.055
internal,n_rsa,16,12,0.004925000000000002,0.22023316930835268,-0.006850855263157895,0.01621571428571428,0.415
internal,n_neighbours_8a,16,12,0.0,,0.0,0.0,1.0
internal,neighbour_hydrophobic_fraction_8a,16,12,0.07642499999999999,0.5729328485521463,0.027021368778280538,0.1357142857142857,0.001
